Wall time,Step,Value
1510777381.152505,42,106.39553833007812
1510777385.4930782,94,106.20799255371094
1510777391.8944075,167,106.64522552490234
1510777397.2212193,229,106.54904174804688
1510777397.613842,234,106.32945251464844
1510777400.690188,273,106.5890884399414
1510777403.5244327,310,106.5708236694336
1510777404.1256714,318,106.05359649658203
1510777419.2823253,474,106.78119659423828
1510777424.8056693,536,107.07189178466797
1510777428.4706542,579,106.24885559082031
1510777429.035729,586,105.94818115234375
1510777432.8706,634,106.41136169433594
1510777434.0244195,647,107.38432312011719
1510777440.1761017,714,106.10826873779297
1510777448.180088,808,106.68556213378906
1510777466.3989162,1014,105.68363189697266
1510777470.7379103,1066,106.08582305908203
1510777497.8751352,1333,106.09288787841797
1510777498.1894903,1337,106.48208618164062
1510777502.5730581,1385,106.6430435180664
1510777503.1350114,1392,107.37091064453125
1510777506.898048,1436,106.909912109375
1510777531.6523678,1691,106.29443359375
1510777536.29928,1734,106.24786376953125
1510777536.5548112,1737,105.9215087890625
1510777549.7703397,1877,106.58124542236328
1510777553.2860854,1917,106.01065063476562
1510777565.711191,2036,106.29923248291016
1510777571.785063,2096,106.44367218017578
1510777580.1336553,2199,106.19649505615234
1510777585.9929225,2262,106.36710357666016
1510777591.6213803,2307,106.77289581298828
1510777598.9136698,2389,105.94435119628906
1510777602.6308396,2436,106.38190460205078
1510777608.0954463,2485,106.44049072265625
1510777608.1762075,2486,105.95045471191406
1510777609.1866977,2498,106.0155258178711
1510777612.1736557,2532,106.31222534179688
1510777626.3916438,2685,106.0252456665039
1510777631.3978245,2740,106.51699829101562
1510777660.3280516,3038,106.84308624267578
1510777677.8716705,3230,106.1177749633789
1510777679.403698,3246,106.65037536621094
1510777684.3603666,3305,106.9091567993164
1510777714.9456604,3618,106.23042297363281
1510777715.104486,3620,106.21842956542969
1510777720.2036421,3670,106.21600341796875
1510777726.7234604,3741,106.3015365600586
1510777733.3134947,3814,106.16470336914062
1510777733.876978,3821,106.71769714355469
1510777743.8398032,3928,106.08795166015625
1510777746.2415898,3956,106.4022445678711
1510777754.5467975,4036,106.54664611816406
1510777769.8823543,4196,106.3648681640625
1510777782.9887195,4317,106.11167907714844
1510777791.5580242,4400,106.50434875488281
1510777801.912711,4492,106.01233673095703
1510777803.7819917,4509,106.11380004882812
1510777818.5826266,4676,105.92147064208984
1510777830.5608418,4788,106.06008911132812
1510777847.3260393,4971,105.66923522949219
1510777860.199706,5106,106.55606079101562
1510777862.896933,5134,106.6353530883789
1510777882.7850597,5345,106.41650390625
1510777884.2867239,5359,105.6703872680664
1510777903.3006322,5549,106.54066467285156
1510777917.0454047,5679,106.80977630615234
1510777921.2299705,5723,106.76668548583984
1510777929.416924,5808,106.14392852783203
1510777935.5096054,5864,106.29780578613281
1510777936.094529,5871,106.51824951171875
1510777939.623887,5907,107.55473327636719
1510777948.3537984,5990,106.47930908203125
1510777969.222016,6200,106.36827087402344
1510777970.702469,6219,106.41950988769531
1510777977.1515617,6289,106.49117279052734
1510778003.2744982,6574,106.65320587158203
1510778006.4986813,6603,106.34734344482422
1510778016.1439707,6699,106.08660125732422
1510778017.3172677,6711,106.34768676757812
1510778031.0887463,6854,105.91853332519531
1510778042.1914787,6966,106.49181365966797
1510778062.1340477,7155,107.01528930664062
1510778082.947333,7382,106.33547973632812
1510778090.3948114,7460,106.73600006103516
1510778090.6894615,7463,105.87029266357422
1510778096.4312172,7511,106.13645935058594
1510778126.3115385,7788,106.26756286621094
1510778127.2352214,7798,106.13330078125
1510778130.3274388,7833,105.92681884765625
1510778146.2861323,7991,106.27154541015625
1510778153.6413004,8066,106.56147766113281
1510778167.2690651,8180,106.23106384277344
1510778170.691228,8221,106.56409454345703
1510778185.669086,8363,106.59734344482422
1510778186.908703,8377,106.10277557373047
1510778200.7816813,8498,106.26791381835938
1510778201.613358,8508,106.12742614746094
1510778211.6397452,8601,106.21697998046875
1510778236.6141918,8878,106.34295654296875
1510778242.433061,8928,106.2525405883789
1510778242.9847054,8935,106.22506713867188
1510778248.2466886,8993,106.10636901855469
1510778275.8372483,9260,106.31920623779297
1510778296.7364113,9468,106.37537384033203
1510778305.5141535,9554,106.08131408691406
1510778306.7302032,9567,106.14997100830078
1510778317.8524528,9698,106.34336853027344
1510778332.0927675,9843,106.18868255615234
1510778339.487606,9907,106.24388885498047
1510778376.7060258,10276,106.3372573852539
1510778377.2717845,10283,106.37326049804688
1510778389.0098586,10399,106.05442810058594
1510778397.8517227,10479,106.10555267333984
1510778402.2717912,10522,106.00778198242188
1510778410.2229307,10607,106.2308349609375
1510778424.2072196,10757,106.39094543457031
1510778426.59292,10780,106.80316925048828
1510778437.8914945,10902,107.80693054199219
1510778438.1307786,10905,106.7284927368164
1510778443.7001128,10966,106.65601348876953
1510778444.3330715,10974,106.16932678222656
1510778449.088143,11020,107.20616149902344
1510778457.4174776,11102,107.01375579833984
1510778488.386423,11419,106.03724670410156
1510778493.312285,11472,106.3673095703125
1510778498.0351298,11532,106.15921783447266
1510778501.2542837,11566,106.59495544433594
1510778513.0368936,11685,106.02075958251953
1510778519.9083395,11759,106.27117919921875
1510778541.38447,11969,106.62307739257812
1510778542.0578492,11974,106.5706787109375
1510778560.7510617,12164,105.76631927490234
1510778572.0592625,12290,107.12145233154297
1510778604.187359,12671,106.27906799316406
1510778622.046631,12877,106.20115661621094
1510778627.8934963,12939,106.17825317382812
1510778636.110313,13034,106.42406463623047
1510778638.793623,13061,106.54351043701172
1510778644.0532668,13109,106.11482238769531
1510778669.342593,13402,106.38020324707031
1510778681.6802335,13546,106.27667999267578
1510778686.2106981,13597,106.63250732421875
1510778688.0493026,13620,106.00733184814453
1510778704.4954212,13810,106.15458679199219
1510778710.5597723,13884,106.3835220336914
1510778726.9539082,14080,106.12591552734375
1510778739.4088945,14221,106.27963256835938
1510778745.341791,14294,108.16524505615234
1510778749.0863373,14338,106.19149780273438
1510778757.8910687,14447,106.53997039794922
1510778773.7662432,14638,106.01734161376953
1510778776.6385787,14668,106.51124572753906
1510778778.162163,14687,106.50657653808594
1510778785.5548851,14779,107.20500183105469
1510778787.8595366,14809,106.58108520507812
1510778793.0663939,14873,106.29698181152344
1510778794.735476,14892,106.31436920166016
1510778829.9269075,15324,106.83038330078125
1510778841.831721,15473,106.36500549316406
1510778842.0482259,15475,107.0387954711914
1510778844.6023018,15507,106.0826416015625
1510778864.9743462,15740,106.34970092773438
1510778866.9285507,15764,107.03158569335938
1510778899.0675054,16116,106.07030487060547
1510778910.6028485,16249,106.36331176757812
1510778917.0374424,16321,107.1983642578125
1510778948.5973883,16697,106.08654022216797
1510778958.2094562,16809,106.50238037109375
1510778962.273045,16857,106.803955078125
1510778965.5853477,16899,106.6201400756836
1510778979.857278,17066,106.95516204833984
1510778982.348863,17097,106.78290557861328
1510778998.7620268,17292,106.43095397949219
1510779001.1149726,17317,106.26228332519531
1510779003.1841354,17339,106.24384307861328
1510779021.4787426,17543,105.42758178710938
1510779022.5985935,17557,106.37030792236328
1510779024.9403539,17586,106.01376342773438
1510779025.6805484,17594,106.04534149169922
1510779064.4915607,18065,107.2401123046875
1510779097.6711428,18451,106.73786926269531
1510779138.629856,18958,105.93295288085938
1510779150.9646423,19116,106.3437728881836
1510779155.1478643,19169,106.26714324951172
1510779163.4813418,19271,107.64971160888672
1510779185.7397718,19531,106.2552490234375
1510779195.6131775,19640,106.80443572998047
1510779197.0301962,19654,106.75967407226562
1510779204.2147522,19731,106.73745727539062
1510779213.865094,19846,106.50863647460938
1510779221.1365523,19938,105.96820068359375
1510779225.8016338,19995,106.29830932617188
1510779228.9004676,20035,106.04418182373047
1510779230.24647,20053,106.94383239746094
1510779230.9141083,20062,106.35807037353516
1510779237.153927,20138,106.5121841430664
1510779245.910194,20244,106.9783935546875
1510779246.5741873,20252,106.35450744628906
1510779252.3266025,20323,106.1005859375
1510779261.7071793,20440,106.3179931640625
1510779269.9752836,20539,106.05193328857422
1510779270.0718038,20540,106.3624267578125
1510779271.9292834,20562,106.12224578857422
1510779273.3132179,20578,106.32062530517578
1510779290.5140855,20779,106.2689437866211
1510779290.740518,20782,106.06736755371094
1510779294.4551492,20831,106.88384246826172
1510779296.2972867,20855,106.67972564697266
1510779314.1123295,21080,106.0409164428711
1510779319.361571,21144,106.15665435791016
1510779325.1746423,21209,106.62991333007812
1510779327.3738942,21232,106.32764434814453
1510779334.5528016,21319,106.32594299316406
1510779340.6822984,21391,106.27125549316406
1510779351.2017128,21523,106.03166961669922
1510779378.603845,21848,106.3740463256836
1510779391.0609562,22006,106.26337432861328
1510779411.1046925,22245,106.05787658691406
1510779414.9793136,22292,106.10814666748047
1510779418.0680213,22330,106.11957550048828
1510779420.4298208,22358,106.68579864501953
1510779429.8329067,22472,107.1802749633789
1510779459.6315455,22840,107.50755310058594
1510779483.7317564,23138,107.08868408203125
1510779484.6233156,23148,106.39364624023438
1510779489.013258,23192,106.1691665649414
1510779491.223917,23218,106.27954864501953
1510779495.3087964,23263,106.7207260131836
1510779497.1128528,23286,106.12081146240234
1510779503.195665,23361,106.62612915039062
1510779508.23996,23427,106.43624114990234
1510779517.0648718,23540,107.12938690185547
1510779527.83948,23670,106.05804443359375
1510779528.729055,23681,105.9801025390625
1510779530.3373451,23701,106.53631591796875
1510779548.6179776,23938,106.71281433105469
