Wall time,Step,Value
1510777871.7228785,8935,103.33653259277344
1510777876.8890588,8993,111.55604553222656
1510777904.7542098,9260,104.7889633178711
1510777926.4777617,9468,105.92208862304688
1510777935.459379,9554,104.59477996826172
1510777936.5031533,9567,102.86146545410156
1510777946.9225008,9698,104.42952728271484
1510777959.4103885,9843,105.58558654785156
1510777965.7217898,9907,103.33576202392578
1510777999.5479357,10276,103.05815887451172
1510778000.0667143,10283,103.58174133300781
1510778010.8878303,10399,109.65306091308594
1510778019.5347142,10479,106.0972900390625
1510778023.661882,10522,104.9780502319336
1510778030.7336717,10607,102.56178283691406
1510778043.698369,10757,104.2531509399414
1510778046.274176,10780,103.7536392211914
1510778057.876753,10902,107.7620849609375
1510778058.2981138,10905,103.33389282226562
1510778064.6395035,10966,104.66357421875
1510778065.2757716,10974,102.89410400390625
1510778069.243987,11020,105.017578125
1510778078.5855565,11102,103.66018676757812
1510778107.844456,11419,105.55733489990234
1510778113.2165804,11472,104.46073913574219
1510778118.120221,11532,103.89124298095703
1510778121.2941291,11566,103.38066864013672
1510778132.5422738,11685,105.7666244506836
1510778139.5385845,11759,106.72200775146484
1510778156.439252,11969,104.83563232421875
1510778157.073085,11974,104.03877258300781
1510778175.297802,12164,103.7940673828125
1510778185.903505,12290,107.30968475341797
1510778224.582711,12671,103.80599212646484
1510778244.2561347,12877,104.26264953613281
1510778249.2064276,12939,106.50096130371094
1510778258.8107667,13034,104.8809814453125
1510778261.9943342,13061,106.97489166259766
1510778265.8680704,13109,103.25775909423828
1510778291.6189063,13402,105.94903564453125
1510778304.384829,13546,105.87708282470703
1510778309.1561933,13597,105.82645416259766
1510778311.8097088,13620,103.18619537353516
1510778328.0524678,13810,103.47111511230469
1510778335.0630333,13884,103.55923461914062
1510778353.0434945,14080,104.34400939941406
1510778366.391586,14221,105.23790740966797
1510778372.4717782,14294,103.87335968017578
1510778377.5820022,14338,107.29438781738281
1510778387.221111,14447,103.52754974365234
1510778405.4801733,14638,106.26781463623047
1510778408.4262614,14668,104.31346893310547
1510778409.8447332,14687,104.37687683105469
1510778417.1716843,14779,106.33008575439453
1510778419.3156269,14809,103.42857360839844
1510778423.8425355,14873,108.19060516357422
1510778425.197155,14892,103.94312286376953
1510778462.758857,15324,103.55746459960938
1510778475.524026,15473,106.92127990722656
1510778475.6714587,15475,105.80162048339844
1510778478.2488244,15507,104.49320220947266
1510778498.3115108,15740,104.3585205078125
1510778500.6815345,15764,103.18252563476562
1510778531.5073032,16116,102.99744415283203
1510778542.2234974,16249,105.22541046142578
1510778548.4432135,16321,104.8401870727539
1510778582.5248866,16697,102.2157974243164
1510778591.554759,16809,102.66035461425781
1510778595.6130545,16857,106.62007904052734
1510778598.8802493,16899,103.55532836914062
1510778611.0978131,17066,105.55648040771484
1510778613.4351263,17097,103.74003601074219
1510778629.0615652,17292,105.8777084350586
1510778630.9982247,17317,105.06790924072266
1510778632.9015775,17339,102.30196380615234
1510778650.322645,17543,103.55252075195312
1510778651.384741,17557,104.01515197753906
1510778653.5933757,17586,104.73711395263672
1510778654.2701993,17594,107.21793365478516
1510778691.7484207,18065,105.71630859375
1510778721.4766989,18451,105.99413299560547
1510778760.9522111,18958,101.96643829345703
1510778773.1599445,19116,104.10858154296875
1510778777.4070125,19169,104.1266860961914
1510778786.374992,19271,103.84707641601562
1510778807.890308,19531,104.79436492919922
1510778817.107866,19640,103.35589599609375
1510778818.1618054,19654,104.93061828613281
1510778823.8589156,19731,104.4271469116211
1510778832.784296,19846,106.48981475830078
1510778840.532267,19938,102.85426330566406
1510778845.2775695,19995,103.9456558227539
1510778848.3077075,20035,106.00218200683594
1510778849.7699642,20053,104.01300811767578
1510778850.6271849,20062,108.23222351074219
1510778856.7210658,20138,104.92512512207031
1510778865.5993097,20244,103.01537322998047
1510778866.1555798,20252,104.55156707763672
1510778871.729639,20323,102.41573333740234
1510778880.8488615,20440,107.49144744873047
1510778888.2243671,20539,103.1273193359375
1510778888.3027177,20540,104.90626525878906
1510778889.9757533,20562,101.62537384033203
1510778891.1983278,20578,107.37551879882812
1510778906.9107099,20779,107.30926513671875
1510778907.1457448,20782,102.57171630859375
1510778910.946217,20831,106.31681823730469
1510778912.98018,20855,105.34417724609375
1510778930.109537,21080,104.45596313476562
1510778934.9444804,21144,104.8338851928711
1510778939.8343372,21209,104.18463897705078
1510778941.5867443,21232,102.09557342529297
1510778948.3899803,21319,106.84748840332031
1510778954.5605254,21391,107.09345245361328
1510778964.511426,21523,109.3564682006836
1510778989.0728002,21848,104.32508850097656
1510779000.6717858,22006,103.5766372680664
1510779019.209601,22245,103.9566650390625
1510779022.8576484,22292,104.66429901123047
1510779025.711272,22330,104.0892562866211
1510779027.7650862,22358,105.12019348144531
1510779037.2845173,22472,104.70548248291016
1510779066.6063616,22840,109.99992370605469
1510779089.6961415,23138,102.41694641113281
1510779090.5789623,23148,105.2401351928711
1510779094.2862213,23192,107.01911163330078
1510779096.4660566,23218,102.46593475341797
1510779099.9661598,23263,107.75638580322266
1510779101.7168076,23286,109.18074798583984
1510779108.110532,23361,103.93074035644531
1510779113.3005152,23427,105.69795989990234
1510779121.6121893,23540,107.14344024658203
1510779131.5970442,23670,104.43807983398438
1510779132.3803568,23681,109.13018798828125
1510779133.8327897,23701,105.64913177490234
1510779152.5575695,23938,104.85885620117188
1510779163.335508,24079,106.7100601196289
1510779168.2809741,24147,105.00054168701172
1510779178.7993016,24282,111.45309448242188
1510779178.9367669,24284,102.80874633789062
1510779181.9635386,24322,103.0275650024414
1510779183.6989148,24345,103.25688171386719
1510779204.7550933,24621,103.75572967529297
1510779211.8264546,24719,102.8062744140625
1510779212.404635,24727,105.39410400390625
1510779226.4609094,24901,106.31659698486328
1510779229.1933775,24934,105.41291046142578
1510779235.0488682,25008,103.08740234375
1510779238.1755714,25047,103.97866821289062
1510779244.5792089,25133,104.06119537353516
1510779253.4907515,25253,105.72972106933594
1510779259.2305799,25332,103.61792755126953
1510779263.4463513,25391,103.1211166381836
1510779285.62511,25686,105.19071960449219
1510779295.648774,25812,104.6489028930664
1510779298.1357102,25847,104.88129425048828
1510779303.6208014,25921,103.26350402832031
1510779314.3768814,26066,101.78661346435547
1510779316.29112,26091,104.76619720458984
1510779321.4567873,26155,103.27639770507812
1510779322.523812,26169,107.04505157470703
1510779333.0183728,26303,111.57501983642578
1510779340.630583,26403,102.5154800415039
1510779345.6496544,26470,104.17401123046875
1510779370.6613705,26797,105.76817321777344
1510779370.7443602,26798,106.50072479248047
1510779373.2074227,26829,102.46638488769531
1510779397.4579382,27142,103.80462646484375
