Wall time,Step,Value
1510777153.8212876,42,101.58564758300781
1510777156.2014146,94,101.56916046142578
1510777159.4757452,167,84.95377349853516
1510777162.2651308,229,78.00093841552734
1510777162.484629,234,76.76822662353516
1510777164.3978398,273,67.60969543457031
1510777166.2623565,310,61.911197662353516
1510777166.6621993,318,60.52926254272461
1510777174.6321647,474,54.402645111083984
1510777177.7860634,536,52.763912200927734
1510777179.9443467,579,51.74806594848633
1510777180.3062458,586,51.70138168334961
1510777182.7048936,634,50.61490249633789
1510777183.442742,647,49.9027214050293
1510777187.27711,714,46.47464370727539
1510777192.642501,808,43.08962631225586
1510777204.4843075,1014,35.97622299194336
1510777207.4457264,1066,34.684383392333984
1510777222.6524987,1333,27.22314453125
1510777222.8781812,1337,27.49100685119629
1510777225.6365066,1385,26.106464385986328
1510777226.0299325,1392,26.178714752197266
1510777228.5292008,1436,25.1350154876709
1510777243.0638309,1691,20.855579376220703
1510777245.5079691,1734,20.43598175048828
1510777245.6854515,1737,20.39616584777832
1510777253.7322807,1877,18.845956802368164
1510777256.0275934,1917,18.49352264404297
1510777262.7950459,2036,17.693674087524414
1510777266.1965878,2096,17.627182006835938
1510777272.0111754,2199,16.398242950439453
1510777275.5982034,2262,16.100936889648438
1510777278.2004082,2307,15.57343864440918
1510777282.8812516,2389,14.488494873046875
1510777285.5741446,2436,14.33673095703125
1510777288.431239,2485,13.657297134399414
1510777288.488812,2486,13.904902458190918
1510777289.1861937,2498,14.0880126953125
1510777291.1550024,2532,13.446541786193848
1510777299.9151645,2685,12.238617897033691
1510777303.0826604,2740,12.356710433959961
1510777320.808221,3038,10.882885932922363
1510777332.0517843,3230,10.230979919433594
1510777333.0307524,3246,10.491209030151367
1510777336.417469,3305,10.202203750610352
1510777354.4209595,3618,9.81243896484375
1510777354.532515,3620,9.56828784942627
1510777357.338852,3670,9.770602226257324
1510777362.000034,3741,10.08470630645752
1510777366.913976,3814,9.240166664123535
1510777367.3649845,3821,9.490221977233887
1510777374.5077038,3928,8.99636173248291
1510777376.5892608,3956,9.393031120300293
1510777382.4152198,4036,9.370891571044922
1510777395.7744713,4196,8.807868003845215
1510777406.810436,4317,8.699968338012695
1510777414.1976213,4400,9.079097747802734
1510777421.117765,4492,7.9239821434021
1510777422.429723,4509,7.863779544830322
1510777436.3844593,4676,7.366799354553223
