Wall time,Step,Value
1510777362.8234205,42,105.1009750366211
1510777366.5535822,94,105.42760467529297
1510777371.7856953,167,105.33914184570312
1510777376.4200704,229,107.33711242675781
1510777376.8137538,234,102.51596069335938
1510777380.3771734,273,106.4431381225586
1510777383.7444823,310,108.4945068359375
1510777384.351514,318,103.4159927368164
1510777398.830647,474,104.4102554321289
1510777406.7679484,536,108.49851989746094
1510777410.7175586,579,103.47225952148438
1510777411.2514167,586,103.48648834228516
1510777415.0855072,634,106.3291244506836
1510777416.1783566,647,103.30133056640625
1510777422.6637511,714,103.63544464111328
1510777430.9825017,808,103.3787612915039
1510777448.8974779,1014,104.8429183959961
1510777454.316897,1066,103.82410430908203
1510777483.2346535,1333,104.0089340209961
1510777483.547851,1337,104.46101379394531
1510777489.0564055,1385,105.95806884765625
1510777489.8683536,1392,103.91165924072266
1510777494.262052,1436,103.96442413330078
1510777519.9499927,1691,103.00357055664062
1510777524.2494607,1734,103.55921173095703
1510777524.481217,1737,102.66722106933594
1510777538.3778665,1877,103.55607604980469
1510777543.8828382,1917,107.91632843017578
1510777554.7921574,2036,104.11176300048828
1510777560.4263666,2096,104.52204132080078
1510777568.9601054,2199,103.95989990234375
1510777575.1947136,2262,106.31910705566406
1510777580.0577612,2307,111.4679183959961
1510777587.7479627,2389,105.70439147949219
1510777591.8406944,2436,104.9329605102539
1510777595.8383853,2485,103.76527404785156
1510777595.9142454,2486,102.770751953125
1510777596.8704414,2498,104.42891693115234
1510777600.0616522,2532,103.60344696044922
1510777616.8042734,2685,106.52554321289062
1510777622.4706583,2740,105.37577056884766
1510777651.0625162,3038,112.4456558227539
1510777670.5496686,3230,104.11239624023438
1510777671.9524763,3246,104.23462677001953
1510777677.3368967,3305,104.76629638671875
1510777707.2885325,3618,104.24889373779297
1510777707.5236914,3620,102.71636962890625
1510777711.3861902,3670,103.02153015136719
1510777718.261132,3741,103.6418228149414
1510777724.3450015,3814,102.30179595947266
1510777724.9343207,3821,104.16419982910156
1510777737.3380606,3928,104.69054412841797
1510777740.4983165,3956,104.55440521240234
1510777748.591155,4036,104.52374267578125
1510777765.2508636,4196,105.90587615966797
1510777776.511277,4317,103.12183380126953
1510777786.1718311,4400,105.69535064697266
1510777795.610384,4492,105.89151763916016
1510777796.969648,4509,105.77191925048828
1510777811.2647736,4676,104.61505126953125
1510777822.0686176,4788,104.709228515625
1510777837.489801,4971,103.11951446533203
1510777851.8441083,5106,103.92559814453125
1510777854.462269,5134,103.5377197265625
1510777875.6507988,5345,106.08405303955078
1510777876.9759233,5359,105.73431396484375
1510777900.6904306,5549,103.33952331542969
1510777913.146226,5679,104.64250183105469
1510777917.2379982,5723,103.58478546142578
1510777925.2830348,5808,104.95441436767578
1510777930.4874337,5864,104.71819305419922
1510777931.2184722,5871,103.69530487060547
1510777934.4886756,5907,102.4766845703125
1510777942.3963034,5990,108.91036224365234
1510777962.9100037,6200,104.03642272949219
1510777965.097754,6219,103.39616394042969
1510777970.85523,6289,102.7549057006836
1510777996.8566031,6574,105.599365234375
1510777999.8902552,6603,103.17535400390625
1510778010.055954,6699,102.57003021240234
1510778011.2115269,6711,102.5407485961914
1510778024.5672174,6854,103.19114685058594
1510778036.4773014,6966,103.05733489990234
1510778055.2402146,7155,103.04033660888672
1510778079.9071329,7382,105.39381408691406
1510778087.6740277,7460,104.92862701416016
1510778087.9462845,7463,103.21317291259766
1510778092.6612966,7511,105.94866180419922
1510778121.2305405,7788,104.5047607421875
1510778122.3650177,7798,107.7300796508789
1510778126.870479,7833,104.96794891357422
1510778142.3818948,7991,106.89191436767578
1510778149.3139572,8066,104.08367156982422
1510778161.7726007,8180,104.04989624023438
1510778165.6925879,8221,110.3631820678711
1510778182.0996783,8363,103.85961151123047
1510778183.217842,8377,104.91763305664062
1510778194.4196312,8498,106.15350341796875
1510778195.2627308,8508,105.69729614257812
1510778204.6129775,8601,103.22947692871094
1510778232.5642579,8878,104.23524475097656
1510778238.686216,8928,104.52168273925781
1510778239.2918797,8935,104.27963256835938
1510778244.6826081,8993,103.15105438232422
1510778274.1241071,9260,106.83796691894531
1510778294.277335,9468,103.59931182861328
1510778303.9081254,9554,104.8387222290039
1510778304.954695,9567,103.86504364013672
1510778316.913592,9698,104.16941833496094
1510778331.351439,9843,105.63179016113281
1510778337.9379108,9907,103.093994140625
1510778375.4526122,10276,105.3322525024414
1510778376.042874,10283,104.78107452392578
1510778387.647648,10399,105.08953094482422
1510778396.1863525,10479,109.77763366699219
1510778400.1262605,10522,105.9370346069336
1510778407.7277176,10607,103.08210754394531
1510778422.5577383,10757,103.72758483886719
1510778424.5658686,10780,105.68216705322266
1510778437.5760732,10902,105.56199645996094
1510778437.8190074,10905,103.58473205566406
1510778444.184371,10966,102.77313995361328
1510778445.070862,10974,105.80033111572266
1510778449.8076432,11020,103.01629638671875
1510778458.5742316,11102,102.75175476074219
1510778488.6286936,11419,104.53675079345703
1510778493.7929397,11472,105.37327575683594
1510778500.4587343,11532,104.28753662109375
1510778503.6025395,11566,105.6191177368164
1510778514.3980627,11685,104.8726806640625
1510778521.0773015,11759,104.477783203125
1510778542.491076,11969,103.40719604492188
1510778543.0344198,11974,103.22582244873047
1510778562.4837878,12164,104.34769439697266
1510778574.3183217,12290,103.51963806152344
1510778606.9791844,12671,105.29972839355469
1510778624.1023865,12877,103.36564636230469
1510778629.8720486,12939,104.2458724975586
1510778637.8920078,13034,103.46199798583984
1510778640.3059344,13061,102.74347686767578
1510778644.4986765,13109,103.8065414428711
1510778669.086715,13402,104.27570343017578
1510778681.2180116,13546,106.34878540039062
1510778685.7738388,13597,104.425537109375
1510778687.5936153,13620,103.34396362304688
1510778703.468198,13810,103.83863830566406
1510778709.9571705,13884,105.54563903808594
1510778725.6514401,14080,103.1915054321289
1510778736.4111996,14221,103.29960632324219
1510778742.1200101,14294,106.83072662353516
1510778745.5985548,14338,103.47862243652344
1510778754.6523993,14447,103.7284164428711
1510778771.1676443,14638,107.3005599975586
1510778773.6019871,14668,104.98663330078125
1510778775.1794095,14687,103.30027770996094
1510778782.5303578,14779,105.3844223022461
1510778785.000393,14809,102.67402648925781
1510778790.1640186,14873,107.56623840332031
1510778791.9150827,14892,102.88726806640625
1510778830.1546133,15324,105.33989715576172
1510778842.5812197,15473,103.5764389038086
1510778842.7692938,15475,103.41768646240234
1510778845.919471,15507,105.09378814697266
1510778864.899051,15740,103.79532623291016
1510778867.1060224,15764,105.16658020019531
1510778900.4144258,16116,103.11309814453125
